seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
12,4,0.1493,0.2000,0.6667,0.3077,0.7661,1321.8735,3879.7448
12,5,0.1493,0.2000,0.6667,0.3077,0.7661,1640.1152,5572.9979
13,1,0.0480,0.0000,0.0000,0.0000,0.4706,762.6908,1359.1344
13,2,0.0480,0.0000,0.0000,0.0000,0.4580,659.7175,1963.8073
13,3,0.0519,0.0714,0.1667,0.1000,0.5287,894.6621,2793.5119
13,4,0.1372,0.1818,0.6667,0.2857,0.7577,1170.2379,3674.8502
13,5,0.1372,0.1818,0.6667,0.2857,0.7577,1445.8307,4519.9475
14,1,0.1311,0.2143,0.5000,0.3000,0.7038,428.1784,1240.0384
14,2,0.0638,0.1429,0.1667,0.1538,0.5581,730.4110,2106.2920
14,3,0.0712,0.1176,0.3333,0.1739,0.6036,1020.8357,2963.2942
14,4,0.0671,0.1053,0.3333,0.1600,0.5952,1324.0514,3985.4221
14,5,0.0610,0.0870,0.3333,0.1379,0.5784,2380.3344,7394.0422
